"Country","People Living with T1D","People who should still be alive today","Healthy years of life lost per person","Healthy years of life lost to treatment","Healthy years of life lost to treatment (Peers)","Healthy years of life lost to complications","Healthy years of life lost to complications (Peers)","Healthy years of life lost to shorter life","Healthy years of life lost to shorter life (Peers)","Healthy years of life lost to cost of care","Healthy years of life lost to cost of care (Peers)","Healthy years of life lost to mental health","Healthy years of life lost to mental health (Peers)","Healthy years of life lost to quality of life","Healthy years of life lost to quality of life (Peers)","Healthy years stolen","Healthy years stolen (Peers)","Healthy years remaining","Healthy years remaining (Peers)","Percentage of families impacted by T1D in 1990","Percentage of families impacted by T1D in 2022","Percentage of families impacted by T1D in 2040","T1D growth from 2000-2000","T1D growth from 2000-2001","T1D growth from 2000-2002","T1D growth from 2000-2003","T1D growth from 2000-2004","T1D growth from 2000-2005","T1D growth from 2000-2006","T1D growth from 2000-2007","T1D growth from 2000-2008","T1D growth from 2000-2009","T1D growth from 2000-2010","T1D growth from 2000-2011","T1D growth from 2000-2012","T1D growth from 2000-2013","T1D growth from 2000-2014","T1D growth from 2000-2015","T1D growth from 2000-2016","T1D growth from 2000-2017","T1D growth from 2000-2018","T1D growth from 2000-2019","T1D growth from 2000-2020","T1D growth from 2000-2021","T1D growth from 2000-2022","Population growth from 2000-2000","Population growth from 2000-2001","Population growth from 2000-2002","Population growth from 2000-2003","Population growth from 2000-2004","Population growth from 2000-2005","Population growth from 2000-2006","Population growth from 2000-2007","Population growth from 2000-2008","Population growth from 2000-2009","Population growth from 2000-2010","Population growth from 2000-2011","Population growth from 2000-2012","Population growth from 2000-2013","Population growth from 2000-2014","Population growth from 2000-2015","Population growth from 2000-2016","Population growth from 2000-2017","Population growth from 2000-2018","Population growth from 2000-2019","Population growth from 2000-2020","Population growth from 2000-2021","Population growth from 2000-2022","T2D growth from 2000-2000","T2D growth from 2000-2001","T2D growth from 2000-2002","T2D growth from 2000-2003","T2D growth from 2000-2004","T2D growth from 2000-2005","T2D growth from 2000-2006","T2D growth from 2000-2007","T2D growth from 2000-2008","T2D growth from 2000-2009","T2D growth from 2000-2010","T2D growth from 2000-2011","T2D growth from 2000-2012","T2D growth from 2000-2013","T2D growth from 2000-2014","T2D growth from 2000-2015","T2D growth from 2000-2016","T2D growth from 2000-2017","T2D growth from 2000-2018","T2D growth from 2000-2019","T2D growth from 2000-2020","T2D growth from 2000-2021","T2D growth from 2000-2022","HIV growth from 2000-2000","HIV growth from 2000-2001","HIV growth from 2000-2002","HIV growth from 2000-2003","HIV growth from 2000-2004","HIV growth from 2000-2005","HIV growth from 2000-2006","HIV growth from 2000-2007","HIV growth from 2000-2008","HIV growth from 2000-2009","HIV growth from 2000-2010","HIV growth from 2000-2011","HIV growth from 2000-2012","HIV growth from 2000-2013","HIV growth from 2000-2014","HIV growth from 2000-2015","HIV growth from 2000-2016","HIV growth from 2000-2017","HIV growth from 2000-2018","HIV growth from 2000-2019","HIV growth from 2000-2020","HIV growth from 2000-2021","HIV growth from 2000-2022","Asthma growth from 2000-2000","Asthma growth from 2000-2001","Asthma growth from 2000-2002","Asthma growth from 2000-2003","Asthma growth from 2000-2004","Asthma growth from 2000-2005","Asthma growth from 2000-2006","Asthma growth from 2000-2007","Asthma growth from 2000-2008","Asthma growth from 2000-2009","Asthma growth from 2000-2010","Asthma growth from 2000-2011","Asthma growth from 2000-2012","Asthma growth from 2000-2013","Asthma growth from 2000-2014","Asthma growth from 2000-2015","Asthma growth from 2000-2016","Asthma growth from 2000-2017","Asthma growth from 2000-2018","Asthma growth from 2000-2019","Asthma growth from 2000-2020","Asthma growth from 2000-2021","Asthma growth from 2000-2022","Tuberculosis growth from 2000-2000","Tuberculosis growth from 2000-2001","Tuberculosis growth from 2000-2002","Tuberculosis growth from 2000-2003","Tuberculosis growth from 2000-2004","Tuberculosis growth from 2000-2005","Tuberculosis growth from 2000-2006","Tuberculosis growth from 2000-2007","Tuberculosis growth from 2000-2008","Tuberculosis growth from 2000-2009","Tuberculosis growth from 2000-2010","Tuberculosis growth from 2000-2011","Tuberculosis growth from 2000-2012","Tuberculosis growth from 2000-2013","Tuberculosis growth from 2000-2014","Tuberculosis growth from 2000-2015","Tuberculosis growth from 2000-2016","Tuberculosis growth from 2000-2017","Tuberculosis growth from 2000-2018","Tuberculosis growth from 2000-2019","Tuberculosis growth from 2000-2020","Tuberculosis growth from 2000-2021","Tuberculosis growth from 2000-2022","Life expectancy from age 10","Healthy years lost when developing T1D","Healthy years restored with onset diagnosis","Perctange of children with T1D undiagnosed","Uncelebrated birthdays this year","Educational poster cost in dollars","Healthy years restored with insulin and strips","Lives lost without insulin and strips","Uncelebrated birthdays this year2","Healthy hours restored with each test strip","Healthy years restored with device uptake","Days per year managing T1D without devices","Days per year restored through devices","T1D_growth_rate","Population_growth_rate","HIV_growth_rate","T2D_growth_rate","Asthma_growth_rate","Tuberculosis_growth_rate","t1d_index_dashboar_url","t1d_index_version"
"Botswana",946.24,861.13,41.120000000000005,1.29,1.47,3.66,4.93,36.17,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",41.120000000000005,29.21,31.68,47.93,"0.73%","0.95%","1.44%","100%","106.88%","114.32%","122.91%","132.93%","144.35%","157.23%","171.93%","188.34%","205.67%","223.98%","241.84%","260.19%","278.85%","298.67%","319.89%","343.77%","369.5%","396.95%","424.86%","453.29%","481.86%","510.96%","100%","101.91%","103.73%","105.54%","107.44%","109.48%","111.72%","114.13%","116.57%","118.87%","120.92%","122.64%","124.11%","125.51%","127.1%","129.05%","131.44%","134.18%","137.16%","140.18%","143.1%","145.88%","148.55%","100%","103.73%","107.6%","111.73%","116.31%","121.23%","127.56%","135.39%","144.25%","153.65%","162.7%","172.31%","182.6%","193.18%","203.6%","213%","221.65%","230.2%","239.5%","249.33%","249.33%","249.33%","249.33%","100%","102.59%","104.12%","104.96%","106.03%","107.81%","110.2%","112.75%","115.41%","118.22%","120.97%","123.79%","126.26%","128.45%","130.51%","132.44%","134.16%","135.63%","136.78%","137.52%","137.52%","137.52%","137.52%","100%","100.51%","100.1%","99.33%","98.77%","99.01%","101.32%","105.79%","111.23%","116.49%","120.33%","122.98%","125.5%","128.03%","130.67%","133.46%","136.53%","140.21%","145.82%","153.6%","153.6%","153.6%","153.6%","100%","101.4%","103%","104.67%","106.31%","107.79%","108.47%","108.1%","107.05%","105.74%","104.64%","103.56%","102.11%","100.53%","99.1%","98.11%","97.71%","97.28%","96.22%","94.64%","94.64%","94.64%","94.64%",72.8,41.120000000000005,5.6,"14%",237.42,1,13.6,288.45,237.42,1.3067665587021007,6.8,18,41.03166983020928,7.7,1.82,1.46,4.24,1.97,-0.25,"https://t1dindex.shinyapps.io/dashboard/?loc_id=72","1.0.4.15"
"Brazil",588800.4,234948.02,33.22,2.07,1.47,5.71,4.93,25.439999999999998,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",33.22,29.21,44.81,47.93,"1.7%","2.55%","6.1%","100%","105.11%","112.24%","120.05%","125.46%","132.05%","137.99%","144.6%","151.54%","158.44%","166.63%","176.28%","184.44%","194.16%","206.49%","215.46%","224.82%","235.17%","245.66%","256.42%","267.46%","278.87%","291.01%","100%","101.38%","102.72%","104.02%","105.27%","106.49%","107.65%","108.78%","109.86%","110.92%","111.97%","113%","114.01%","115.01%","116%","116.98%","117.94%","118.9%","119.83%","120.73%","121.6%","122.42%","123.19%","100%","104.58%","110.98%","118.34%","125.68%","131.89%","137.1%","142.18%","147.23%","152.39%","157.8%","164.2%","171.84%","180.15%","188.47%","196.05%","202.64%","208.62%","213.78%","217.78%","217.78%","217.78%","217.78%","100%","109.73%","118.85%","127.34%","135.34%","143.06%","150.54%","157.49%","164.05%","170.49%","176.74%","182.97%","189.6%","196.93%","205.34%","214.76%","224.7%","234.73%","244.63%","254.43%","254.43%","254.43%","254.43%","100%","99.11%","97.41%","95.32%","93.26%","91.69%","90.35%","88.79%","87.25%","85.99%","85.31%","84.59%","83.28%","81.84%","80.68%","80.25%","82.02%","84.29%","88.09%","94.9%","94.9%","94.9%","94.9%","100%","100.69%","101.27%","101.79%","102.3%","102.85%","103.41%","103.89%","104.31%","104.65%","104.92%","105.05%","105.02%","104.87%","104.67%","104.5%","104.32%","104.05%","103.58%","102.89%","102.89%","102.89%","102.89%",78.03,33.22,4.1,"5.5%",75777.53,1,6.7,52890.88,75777.53,1.3067665587021007,6.9,18,41.03166983020928,4.98,0.95,4.34,3.6,-0.24,0.13,"https://t1dindex.shinyapps.io/dashboard/?loc_id=76","1.0.4.15"
"Brunei Darussalam",98.2,15.61,26.410000000000018,2.49,2.55,6.86,6.65,17.06000000000001,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",26.410000000000018,18.136000000000003,51.129999999999995,64.628,"0.15%","0.19%","0.31%","100%","106.3%","113.09%","120.06%","127.43%","135.31%","143.05%","151.19%","159.61%","168.3%","177.52%","187.56%","197.78%","208.17%","218.97%","230.29%","241.35%","252.96%","265.31%","277.56%","289.94%","303.02%","315.76%","100%","102.06%","104.09%","106.04%","107.88%","109.59%","111.13%","112.55%","113.88%","115.23%","116.65%","118.17%","119.76%","121.38%","122.99%","124.54%","126%","127.41%","128.75%","130.05%","131.31%","132.52%","133.69%","100%","105.56%","112.19%","119.16%","126.1%","132.42%","138.32%","144.53%","151.01%","157.74%","164.71%","171.72%","178.33%","184.82%","190.94%","196.79%","198.6%","201.11%","210.06%","221.87%","221.87%","221.87%","221.87%","100%","118.15%","135.87%","153.08%","169.51%","185.39%","201.11%","217.26%","234.08%","252.38%","272.8%","295.79%","321.12%","348.46%","377.4%","408.21%","441.27%","475.46%","510.05%","544.66%","544.66%","544.66%","544.66%","100%","101.47%","102.94%","104.32%","105.6%","106.78%","107.69%","108.34%","108.88%","109.5%","110.42%","111.6%","112.95%","114.4%","115.99%","117.71%","120.52%","123.63%","125.93%","127.9%","127.9%","127.9%","127.9%","100%","100.88%","101.51%","101.98%","102.41%","102.91%","103.48%","104.03%","104.59%","105.09%","105.55%","105.93%","106.22%","106.44%","106.51%","106.43%","106.03%","105.36%","104.51%","103.4%","103.4%","103.4%","103.4%",77.54,26.410000000000018,0,"0%",0,1,5.6,5.05,0,1.1117573827244247,6.4,18,39.719947229636006,5.37,1.33,8.01,3.69,1.12,0.15,"https://t1dindex.shinyapps.io/dashboard/?loc_id=96","1.0.4.15"
"Bulgaria",23555.96,7965.24,23.58,2.49,1.47,4.8,4.93,16.289999999999992,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",23.58,29.21,52.910000000000004,47.93,"1.31%","2.7%","6.26%","100%","102.54%","105.24%","108.03%","110.83%","113.97%","117.59%","121.91%","126.54%","131.15%","135.89%","140.53%","145.43%","150.6%","156.08%","162.08%","168.71%","176.26%","184.08%","192.45%","201.43%","210.59%","220.1%","100%","99.16%","98.35%","97.58%","96.83%","96.11%","95.41%","94.73%","94.07%","93.44%","92.84%","92.26%","91.7%","91.15%","90.59%","90.02%","89.42%","88.8%","88.17%","87.52%","86.88%","86.23%","85.58%","100%","101.58%","103.13%","104.72%","106.31%","107.83%","109.46%","111.28%","113.25%","115.14%","116.67%","117.94%","119.2%","120.51%","121.69%","122.58%","123.2%","123.51%","123.43%","122.97%","122.97%","122.97%","122.97%","100%","104.66%","109.58%","114.02%","117.72%","120.48%","122.17%","122.95%","123%","122.77%","122.79%","123.29%","124.51%","126.91%","131.03%","136.76%","144.08%","152.96%","164.29%","177.54%","177.54%","177.54%","177.54%","100%","98.25%","96.5%","94.79%","93.13%","91.5%","89.98%","88.59%","87.23%","85.76%","84.09%","82.16%","80.21%","78.48%","77.12%","76.28%","77.64%","79.06%","78.57%","77.53%","77.53%","77.53%","77.53%","100%","98.05%","95.9%","93.67%","91.44%","89.25%","87.04%","84.74%","82.36%","79.88%","77.3%","74.6%","71.91%","69.33%","66.87%","64.56%","62.42%","60.38%","58.35%","56.32%","56.32%","56.32%","56.32%",76.49,23.58,5.2,"3.3%",1885.41,1,0,1000.1,1885.41,1.3067665587021007,5.5,18,41.03166983020928,3.65,-0.71,2.64,0.94,-1.15,-2.58,"https://t1dindex.shinyapps.io/dashboard/?loc_id=100","1.0.4.15"
"Burkina Faso",1146.26,2777.06,49.51,0.5,0.42000000000000004,0.84,0.3520000000000001,48.17,45.686,"TBD","TBD","TBD","TBD","TBD","TBD",49.51,47.674,19.45,22.626000000000005,"0.51%","0.57%","0.61%","100%","110.23%","121.62%","135.12%","150.38%","167.33%","185.14%","204.41%","225.08%","247.45%","271.81%","297.46%","325.68%","355.97%","388.48%","422.95%","458.97%","496.84%","537.36%","579.13%","624.92%","673.49%","724.98%","100%","102.9%","105.9%","109.02%","112.26%","115.63%","119.14%","122.78%","126.55%","130.44%","134.44%","138.54%","142.76%","147.08%","151.5%","156.02%","160.63%","165.35%","170.15%","175.06%","180.08%","185.19%","190.41%","100%","103.73%","108.38%","113.34%","118.45%","123.6%","128.43%","134.1%","140.09%","146.34%","152.88%","159.39%","166.9%","174.93%","183.41%","192.36%","202.26%","212.86%","222.99%","233.19%","233.19%","233.19%","233.19%","100%","95.01%","89.99%","85.04%","80.32%","75.94%","72.05%","68.88%","66.16%","64.01%","62.33%","61.07%","60.16%","58.84%","57.26%","56.01%","54.85%","53.98%","53.1%","52.46%","52.46%","52.46%","52.46%","100%","102.97%","106.42%","110.18%","114.07%","117.91%","121.46%","124.77%","128.04%","131.49%","135.39%","139.71%","144.18%","148.86%","153.84%","159.19%","167.01%","175.74%","183.17%","190.62%","190.62%","190.62%","190.62%","100%","100.55%","100.69%","100.68%","100.83%","101.48%","102.64%","104.03%","105.56%","107.15%","108.7%","110.21%","111.71%","113.13%","114.39%","115.39%","115.89%","115.86%","115.31%","114.1%","114.1%","114.1%","114.1%",68.96000000000001,49.51,3.7,"25.6%",496.34,1,24.3,1635.51,496.34,4.295992919378152,7.1,18,52.635831310847145,9.42,2.97,-2.89,3.92,2.98,0.6,"https://t1dindex.shinyapps.io/dashboard/?loc_id=854","1.0.4.15"
"Burundi",2134.52,7069.72,50.989999999999995,0.34,0.42000000000000004,0.27,0.3520000000000001,50.379999999999995,45.686,"TBD","TBD","TBD","TBD","TBD","TBD",50.989999999999995,47.674,16.91,22.626000000000005,"2.3%","2.53%","2.72%","100%","111.69%","124.72%","139.01%","155.31%","172.8%","191.09%","210.8%","231.66%","253.68%","276.59%","299.27%","323.43%","348.46%","375.17%","402.49%","431.09%","461.87%","494.97%","531.03%","567.7%","608.26%","651.13%","100%","102.3%","105.1%","108.31%","111.8%","115.46%","119.27%","123.25%","127.39%","131.65%","136.01%","140.44%","144.95%","149.56%","154.33%","159.28%","164.42%","169.73%","175.19%","180.76%","186.41%","192.13%","197.92%","100%","102.22%","104.88%","107.98%","111.39%","115.47%","119.96%","125.44%","131.82%","137.84%","143.5%","149.52%","156.4%","163.21%","169.49%","176.18%","184.37%","194%","204.2%","215.26%","215.26%","215.26%","215.26%","100%","94.52%","89.25%","84.25%","79.27%","74.48%","70.03%","66.4%","63.27%","60.02%","56.45%","53.79%","51.77%","49.64%","47.51%","46.05%","45.08%","44.62%","44.22%","43.6%","43.6%","43.6%","43.6%","100%","101.12%","102.91%","105.31%","107.9%","110.51%","113.07%","116.33%","120.4%","123.25%","124.62%","126.32%","128.46%","129.79%","130.17%","131.23%","134.44%","139.62%","145.09%","150.48%","150.48%","150.48%","150.48%","100%","100.13%","100.32%","100.82%","101.47%","102.53%","104.02%","106.44%","109.84%","112.14%","113.11%","114.83%","117.47%","119.49%","120.35%","121.24%","123.41%","126.62%","129.23%","130.93%","130.93%","130.93%","130.93%",67.9,50.989999999999995,2.5,"25.2%",899.82,1,25.2,4411.07,899.82,4.295992919378152,7.4,18,52.635831310847145,8.89,3.15,-3.7,3.55,1.87,1.23,"https://t1dindex.shinyapps.io/dashboard/?loc_id=108","1.0.4.15"
"Cambodia",2266.54,2513.86,46.61,1,0.708,3.47,1.4100000000000001,42.14,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",46.61,43.67199999999999,26.450000000000003,30.208000000000002,"0.41%","0.36%","0.6%","100%","109.45%","119.48%","130.5%","142.67%","155.79%","169.55%","184.03%","199.16%","215.27%","232.52%","250.29%","269.23%","289.69%","311.23%","333.62%","356.81%","379.92%","403.11%","427.28%","452.31%","477.56%","503.88%","100%","102.06%","103.97%","105.77%","107.5%","109.2%","110.88%","112.54%","114.22%","115.95%","117.75%","119.63%","121.6%","123.62%","125.66%","127.69%","129.71%","131.71%","133.69%","135.63%","137.55%","139.42%","141.24%","100%","105.38%","110.97%","117.02%","123.48%","130.59%","138.71%","147.98%","158.47%","169.88%","182.21%","195.82%","211.03%","227.97%","246.17%","265.6%","287.35%","311.24%","336.84%","364.21%","364.21%","364.21%","364.21%","100%","98.14%","94.42%","90.02%","85.33%","80.65%","76.6%","74.15%","73.03%","72.05%","71.12%","70.15%","69.13%","68.1%","67.09%","66.18%","65.33%","64.51%","63.68%","62.89%","62.89%","62.89%","62.89%","100%","101.54%","103.57%","105.84%","107.98%","109.72%","111.04%","112.19%","113.34%","114.61%","116.2%","118.08%","120.15%","122.52%","125.22%","128.31%","135.75%","143.94%","148.41%","151.91%","151.91%","151.91%","151.91%","100%","100.85%","101.25%","101.48%","101.78%","102.51%","103.62%","104.79%","105.97%","107.14%","108.28%","108.93%","108.87%","108.46%","108.05%","108.02%","108.21%","108.49%","108.86%","109.17%","109.17%","109.17%","109.17%",73.06,46.61,2.5,"9.9%",368.91,1,23.5,1491.03,368.91,3.2336770219840876,6.3,18,41.072044186258765,7.63,1.58,-2.09,6.05,1.92,0.4,"https://t1dindex.shinyapps.io/dashboard/?loc_id=116","1.0.4.15"
"Cameroon",8188.29,15172.68,45.39,0.6,0.708,0.81,1.4100000000000001,43.980000000000004,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",45.39,43.67199999999999,21.25,30.208000000000002,"1.81%","2.25%","2.81%","100%","108.21%","117.65%","128.26%","139.88%","152.76%","166.59%","181.77%","198.09%","215.89%","234.71%","254.68%","276.46%","299.58%","324.05%","350.73%","378.56%","407.34%","437.34%","469.26%","502.6%","538.16%","574.43%","100%","102.67%","105.44%","108.3%","111.25%","114.31%","117.47%","120.73%","124.1%","127.56%","131.12%","134.76%","138.49%","142.31%","146.2%","150.18%","154.23%","158.35%","162.54%","166.79%","171.11%","175.48%","179.91%","100%","106.26%","113.21%","121.21%","129.32%","137.03%","146.2%","158.47%","172.96%","187.26%","199.11%","209.4%","220.43%","232.15%","243.62%","254.26%","263.28%","272.53%","287.1%","307.14%","307.14%","307.14%","307.14%","100%","107.58%","113.73%","118.55%","122.26%","125.58%","128.66%","131.25%","133.91%","136.55%","138.65%","140.47%","141.7%","142.23%","142.29%","141.33%","140.25%","139.51%","139.34%","139.51%","139.51%","139.51%","139.51%","100%","103.74%","107.96%","112.54%","117.3%","122.05%","126.63%","131.07%","135.52%","140.09%","144.95%","149.99%","155.05%","160.21%","165.55%","171.16%","180.5%","190.87%","198.51%","205.6%","205.6%","205.6%","205.6%","100%","101.49%","102.12%","102.36%","102.7%","103.78%","105.66%","107.88%","110.24%","112.5%","114.39%","115.63%","116.26%","116.36%","116.03%","115.42%","114.25%","112.66%","110.92%","108.9%","108.9%","108.9%","108.9%",66.64,45.39,3,"17.9%",2281.29,1,20.1,8567.93,2281.29,3.2336770219840876,7.5,18,41.072044186258765,8.27,2.71,1.52,5.23,3.33,0.39,"https://t1dindex.shinyapps.io/dashboard/?loc_id=120","1.0.4.15"
"Canada",285324.32,36263.93,22.319999999999993,3.12,2.55,8.62,6.65,10.579999999999998,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",22.319999999999993,18.136000000000003,61.42,64.628,"2.17%","4.81%","6.25%","100%","105.53%","111.44%","117.64%","124.21%","131.11%","138.19%","145.44%","152.94%","160.56%","168.26%","175.66%","183.23%","190.73%","198.04%","205.1%","212.33%","219.55%","227.26%","235%","243%","250.87%","259.08%","100%","100.95%","101.93%","102.94%","104.01%","105.15%","106.37%","107.66%","108.99%","110.32%","111.63%","112.91%","114.16%","115.38%","116.59%","117.77%","118.93%","120.07%","121.19%","122.29%","123.37%","124.44%","125.48%","100%","103.52%","107.65%","112.29%","117.31%","122.66%","128.74%","135.89%","143.72%","151.87%","160.02%","168.14%","176.72%","185.85%","195.69%","206.5%","220.66%","236.11%","250.75%","266.21%","266.21%","266.21%","266.21%","100%","103.42%","106.69%","110.03%","113.44%","116.77%","120.1%","123.23%","126.38%","129.71%","133.22%","137.03%","141.1%","145.75%","150.98%","156.53%","162.26%","167.96%","173.5%","178.94%","178.94%","178.94%","178.94%","100%","101.61%","104.25%","107.31%","110.18%","112.26%","113.53%","114.42%","115.06%","115.49%","115.77%","114.9%","112.57%","109.85%","107.81%","107.62%","112.26%","117.06%","118.17%","118.2%","118.2%","118.2%","118.2%","100%","100.65%","101.34%","102.1%","102.97%","103.95%","104.97%","105.99%","107.01%","108.07%","109.19%","110.28%","111.27%","112.2%","113.11%","114.06%","114.99%","115.86%","116.66%","117.35%","117.35%","117.35%","117.35%",83.74,22.319999999999993,0,"0%",0,1,2,5976.07,0,1.1117573827244247,6,18,39.719947229636006,4.42,1.04,2.68,4.55,0.76,0.73,"https://t1dindex.shinyapps.io/dashboard/?loc_id=124","1.0.4.15"
"Cape Verde",291.03,302.26,47.309999999999995,1.19,0.708,5.52,1.4100000000000001,40.6,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",47.309999999999995,43.67199999999999,28.11,30.208000000000002,"1.33%","1.02%","1.43%","100%","109.15%","118.85%","129.26%","140.52%","152.66%","165.63%","179.21%","193.82%","208.9%","224.68%","241.64%","259.03%","276.95%","295.32%","314.02%","333.2%","352.9%","372.75%","392.32%","412.22%","432.89%","454.24%","100%","101.76%","103.45%","105.08%","106.64%","108.14%","109.57%","110.95%","112.3%","113.66%","115.06%","116.51%","118%","119.51%","121.04%","122.55%","124.05%","125.53%","126.99%","128.44%","129.85%","131.23%","132.58%","100%","105.53%","111.53%","117.78%","124.03%","130.04%","136.72%","144.07%","151.59%","158.77%","165.07%","171.21%","177.24%","183.3%","189.43%","195.69%","204.28%","213.3%","220.65%","227.59%","227.59%","227.59%","227.59%","100%","101.49%","102.22%","102.36%","102.06%","101.47%","101.7%","102.53%","103.78%","105.27%","106.23%","106.99%","107.72%","108.86%","110.42%","112.11%","113.64%","115.1%","116.5%","117.84%","117.84%","117.84%","117.84%","100%","99.86%","99.38%","98.8%","98.43%","98.57%","99.23%","100.05%","100.95%","101.84%","102.62%","103.35%","104.1%","104.95%","105.95%","107.19%","110.78%","114.76%","116.89%","118.59%","118.59%","118.59%","118.59%","100%","99.69%","99.14%","98.37%","97.35%","96.08%","94.41%","92.28%","89.91%","87.53%","85.41%","83.59%","81.87%","80.18%","78.47%","76.66%","74.77%","72.77%","70.49%","67.96%","67.96%","67.96%","67.96%",75.42,47.309999999999995,5,"14.5%",85.47,1,22.4,154.56,85.47,3.2336770219840876,5.8,18,41.072044186258765,7.12,1.29,0.75,3.81,0.78,-1.74,"https://t1dindex.shinyapps.io/dashboard/?loc_id=132","1.0.4.15"
"Central African Republic",210.88,686.98,44.88,0.36,0.42000000000000004,0.15,0.3520000000000001,44.370000000000005,45.686,"TBD","TBD","TBD","TBD","TBD","TBD",44.88,47.674,17.25,22.626000000000005,"0.39%","0.5%","0.6%","100%","107.05%","115.75%","126.25%","137.44%","149.57%","162.01%","175.18%","189.17%","203.9%","219.29%","233.07%","247.42%","263.69%","281.17%","301.09%","322.57%","345.99%","369.36%","394.54%","421.26%","449.05%","477.97%","100%","102.24%","104.44%","106.61%","108.78%","110.93%","113.12%","115.32%","117.39%","119.15%","120.5%","121.38%","121.87%","122.18%","122.63%","123.42%","124.65%","126.25%","128.18%","130.35%","132.67%","135.15%","137.8%","100%","104.02%","108.2%","112.51%","117.01%","121.48%","125.99%","130.83%","136.12%","141.86%","147.82%","153.62%","158.63%","162.84%","167.44%","172.77%","178.25%","183.74%","189.99%","197.21%","197.21%","197.21%","197.21%","100%","98.97%","97.79%","96.4%","94.7%","92.6%","90.36%","88.33%","86.7%","85.93%","85.2%","83.95%","81.51%","78.44%","75.44%","73.66%","72.35%","71.69%","70.98%","70.93%","70.93%","70.93%","70.93%","100%","101.91%","103.68%","105.34%","106.95%","108.34%","109.52%","110.67%","112.07%","113.8%","115.79%","117.36%","117.31%","116.08%","115.65%","116.61%","118.47%","120.48%","122.43%","124.58%","124.58%","124.58%","124.58%","100%","102.53%","104.71%","106.69%","108.63%","110.48%","112.33%","114.35%","116.74%","119.47%","122.36%","124.56%","124.77%","123.64%","123.6%","125.38%","127.94%","130.53%","132.81%","134.6%","134.6%","134.6%","134.6%",62.13,44.88,2.8,"26.3%",92.76,1,19.1,366.76,92.76,4.295992919378152,7.4,18,52.635831310847145,7.37,1.47,-1.55,3.13,1,1.36,"https://t1dindex.shinyapps.io/dashboard/?loc_id=140","1.0.4.15"
"Chad",689.98,2270.1,47.33,0.32,0.42000000000000004,0.13,0.3520000000000001,46.879999999999995,45.686,"TBD","TBD","TBD","TBD","TBD","TBD",47.33,47.674,16.46,22.626000000000005,"0.55%","0.66%","0.72%","100%","110.7%","122.64%","136.41%","153.25%","171.09%","190.53%","211.53%","234.33%","258.17%","284.84%","312.79%","342.46%","374.73%","408.31%","443.61%","478.92%","515%","552.76%","592.74%","635.92%","679.34%","724.77%","100%","103.86%","107.94%","112.19%","116.51%","120.84%","125.15%","129.47%","133.84%","138.35%","143.04%","147.94%","153.01%","158.22%","163.52%","168.88%","174.27%","179.72%","185.24%","190.85%","196.58%","202.44%","208.4%","100%","104.48%","109.1%","113.81%","118.85%","123.59%","128.79%","134.19%","139.73%","145.65%","151.32%","157.46%","163.81%","170.36%","177.34%","184.39%","192.72%","201.37%","209.99%","219.35%","219.35%","219.35%","219.35%","100%","103.64%","106.56%","108.37%","109.96%","111.32%","111.85%","112.35%","113.42%","117.29%","122.38%","127.17%","131.64%","135.99%","140.04%","144%","147.95%","150.54%","153.17%","155.96%","155.96%","155.96%","155.96%","100%","103.45%","107.38%","111.65%","116.12%","120.6%","125.1%","129.71%","134.48%","139.45%","144.69%","150.2%","155.89%","161.84%","168.13%","174.85%","184.77%","195.91%","205.37%","214.83%","214.83%","214.83%","214.83%","100%","102.11%","103.89%","105.44%","106.9%","108.42%","109.86%","111.06%","112.13%","113.18%","114.35%","115.63%","116.89%","118.1%","119.2%","120.13%","120.73%","121.06%","121.17%","120.97%","120.97%","120.97%","120.97%",63.79,47.33,2.5,"26.1%",297.26,1,20.5,1293.9,297.26,4.295992919378152,7.9,18,52.635831310847145,9.42,3.39,2.04,3.63,3.54,0.87,"https://t1dindex.shinyapps.io/dashboard/?loc_id=148","1.0.4.15"
