"","Time","Region","Ratio","Upper","Lower"
"352",2015.5,"Southern Western Europe",0.988449860435725,1.12840929766386,0.865849943471889
"362",2016.5,"Southern Western Europe",0.983660085037367,1.15252788697605,0.839534707862409
"372",2017.5,"Southern Western Europe",0.97862671794062,1.18105571445744,0.810893373905892
"382",2018.5,"Southern Western Europe",0.973361586824201,1.21404276798493,0.780394895212364
"114",1974.5,"Southern Eastern Europe",1.00160248081602,1.25803745354887,0.797438523588314
"214",1975.5,"Southern Eastern Europe",1.00497104873418,1.23130398070683,0.820241650005964
"314",1976.5,"Southern Eastern Europe",1.00826617829745,1.20745456647647,0.841937009079464
"413",1977.5,"Southern Eastern Europe",1.01148875525601,1.18643096387003,0.86234221220261
"513",1978.5,"Southern Eastern Europe",1.01463970247164,1.16820015281818,0.881264844340392
"613",1979.5,"Southern Eastern Europe",1.01771997901464,1.15274897149816,0.898507811583175
"712",1980.5,"Southern Eastern Europe",1.02073057925903,1.14007147441398,0.913882101970869
"811",1981.5,"Southern Eastern Europe",1.02367253197712,1.13014490139823,0.927231058095261
"93",1982.5,"Southern Eastern Europe",1.02654689943499,1.12289267688991,0.938467725747673
"103",1983.5,"Southern Eastern Europe",1.02935477648993,1.11814139845394,0.947618304221374
"115",1984.5,"Southern Eastern Europe",1.03209728969124,1.11559123726609,0.954852261118938
"123",1985.5,"Southern Eastern Europe",1.03477559638546,1.1148232099024,0.96047563897475
"133",1986.5,"Southern Eastern Europe",1.03739088382736,1.11535016383643,0.964880699121803
"143",1987.5,"Southern Eastern Europe",1.04013989872716,1.11666827789826,0.968856221975274
"153",1988.5,"Southern Eastern Europe",1.04312683031355,1.11847824110125,0.972851812520406
"163",1989.5,"Southern Eastern Europe",1.04621297832664,1.12073724089412,0.976644262437341
"173",1990.5,"Southern Eastern Europe",1.04925805587615,1.12341200293391,0.979998847213464
"183",1991.5,"Southern Eastern Europe",1.0521201507041,1.12631299339274,0.982814562214361
"193",1992.5,"Southern Eastern Europe",1.05465587672661,1.12902438714125,0.985185998621678
"203",1993.5,"Southern Eastern Europe",1.05660786558216,1.12994535663474,0.988030239741023
"215",1994.5,"Southern Eastern Europe",1.05783068701538,1.12935095357933,0.99083970208277
"223",1995.5,"Southern Eastern Europe",1.05834917326107,1.12918757501983,0.991954744562901
"233",1996.5,"Southern Eastern Europe",1.05818965382482,1.12984744715944,0.991076579654272
"243",1997.5,"Southern Eastern Europe",1.05737978023344,1.12980199113032,0.989599955057572
"253",1998.5,"Southern Eastern Europe",1.05506904335547,1.12578185201451,0.988797860131679
"263",1999.5,"Southern Eastern Europe",1.05167902325205,1.121176240419,0.986489659765759
"273",2000.5,"Southern Eastern Europe",1.04913208127748,1.11891129098029,0.983704546408945
"283",2001.5,"Southern Eastern Europe",1.04709684937737,1.11554417121348,0.982849303746848
"293",2002.5,"Southern Eastern Europe",1.04472862476165,1.11191780563549,0.981599443650034
"303",2003.5,"Southern Eastern Europe",1.04315765120549,1.10946025390499,0.980817367218406
"315",2004.5,"Southern Eastern Europe",1.04224401226141,1.10678175812128,0.981469538257176
"323",2005.5,"Southern Eastern Europe",1.041384288057,1.10410407669614,0.982227362711255
"333",2006.5,"Southern Eastern Europe",1.04100679365553,1.10236422494902,0.983064508000601
"343",2007.5,"Southern Eastern Europe",1.04153967145117,1.10252692973295,0.983925977635184
"353",2008.5,"Southern Eastern Europe",1.0429200392983,1.10580210577962,0.983613797337738
"363",2009.5,"Southern Eastern Europe",1.04486749426765,1.11343688738308,0.980520847610046
"373",2010.5,"Southern Eastern Europe",1.04748657631672,1.12643568882971,0.974070813313515
"383",2011.5,"Southern Eastern Europe",1.05108736185646,1.14562610070349,0.964350097798901
"392",2012.5,"Southern Eastern Europe",1.05578985212488,1.17143453484253,0.951561678177528
"402",2013.5,"Southern Eastern Europe",1.06141506406166,1.20371309302655,0.935938924934638
"414",2014.5,"Southern Eastern Europe",1.06778269563833,1.24218308112069,0.917867826758693
"422",2015.5,"Southern Eastern Europe",1.07470965621459,1.28654511966531,0.897753858381091
"116",1977.5,"Middle East/North Africa",1.07029930374163,1.28988122362479,0.88809774001567
"216",1982.5,"Middle East/North Africa",1.05029846095307,1.1477904718123,0.961087310072028
"316",1983.5,"Middle East/North Africa",1.04808628439438,1.13393569549619,0.968736467066533
"415",1984.5,"Middle East/North Africa",1.04657800419249,1.12460740236127,0.973962572680691
"514",1985.5,"Middle East/North Africa",1.04559888014348,1.11916446248362,0.976868954301076
"614",1986.5,"Middle East/North Africa",1.04491630028588,1.11675270944848,0.977700851195919
"713",1987.5,"Middle East/North Africa",1.0447194714323,1.11660063708338,0.977465655796757
"812",1988.5,"Middle East/North Africa",1.04486958820864,1.1179455943089,0.976570292795146
"94",1989.5,"Middle East/North Africa",1.04552918767616,1.12035034175487,0.97570486797061
"104",1992.5,"Middle East/North Africa",1.05021563081383,1.13280858085089,0.97364452375284
"117",1993.5,"Middle East/North Africa",1.05295197232316,1.13845200780648,0.97387316146548
