world_bank_name,united_nations_name,sub_saharan_africa,drop_country,world_bank_code,world_bank_classification,jdrf_region_name,jdrf_broad_region_name,jdrf_broad_region_code,legacy_region_code,legacy_region_name,loc_id,broad_region_id,region_id
Ethiopia,Ethiopia,TRUE,FALSE,ETH,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,231,4,12
Federated States of Micronesia,Micronesia (Fed. States of),FALSE,FALSE,FSM,LMIC,Oceania,Asia-Pacific,APAC,WP,Western Pacific,583,2,11
Fiji,Fiji,FALSE,FALSE,FJI,UMIC,Oceania,Asia-Pacific,APAC,WP,Western Pacific,242,2,11
Finland,Finland,FALSE,FALSE,FIN,HIC,Nordic Countries,Europe,EUR,EUR,Europe,246,3,6
France,France,FALSE,FALSE,FRA,HIC,Western Europe,Europe,EUR,EUR,Europe,250,3,13
French Guiana,French Guiana,FALSE,TRUE,GUF,UMIC,South America,Americas,AMER,N/A,N/A,254,1,9
French Polynesia,French Polynesia,FALSE,TRUE,PYF,HIC,Oceania,Asia-Pacific,APAC,N/A,N/A,258,2,11
Gabon,Gabon,TRUE,FALSE,GAB,UMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,266,4,12
Gambia,Gambia,TRUE,FALSE,GMB,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,270,4,12
Georgia,Georgia,FALSE,FALSE,GEO,LMIC,Middle East,Middle East and Africa,MEA,EUR,Europe,268,4,5
Germany,Germany,FALSE,FALSE,DEU,HIC,Western Europe,Europe,EUR,EUR,Europe,276,3,13
Ghana,Ghana,TRUE,FALSE,GHA,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,288,4,12
Greece,Greece,FALSE,FALSE,GRC,HIC,Western Europe,Europe,EUR,EUR,Europe,300,3,13
Grenada,Grenada,FALSE,FALSE,GRD,UMIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,308,1,2
Guadeloupe,Guadeloupe,FALSE,TRUE,GLP,UMIC,Central America and The Caribbean,Americas,AMER,N/A,N/A,312,1,2
Guam,Guam,FALSE,TRUE,GUM,HIC,Oceania,Asia-Pacific,APAC,N/A,N/A,316,2,11
Guatemala,Guatemala,FALSE,FALSE,GTM,UMIC,Central America and The Caribbean,Americas,AMER,SACA,South America & Central America,320,1,2
Guinea,Guinea,TRUE,FALSE,GIN,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,324,4,12
Guinea-Bissau,Guinea-Bissau,TRUE,FALSE,GNB,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,624,4,12
