loc_id,year,hba1c
344,1990,9
344,2000,9
344,2010,9
344,2020,8.5
344,2030,8.5
344,2040,8.5
344,2050,8.5
344,2060,8.5
344,2100,8.5
446,1850,13.5
446,1920,13.5
446,1921,11
446,1950,11
446,1980,10
446,1990,9
446,2000,9
446,2010,9
446,2020,8.5
446,2030,8.5
446,2040,8.5
446,2050,8.5
446,2060,8.5
446,2100,8.5
158,1850,13.5
158,1920,13.5
158,1921,11
158,1950,11
158,1980,10
158,1990,9
158,2000,9
158,2010,9
158,2020,8.5
158,2030,8.5
158,2040,8.5
158,2050,8.5
158,2060,8.5
158,2100,8.5
170,1850,13.5
170,1920,13.5
170,1921,12
170,1950,12
170,1980,12
170,1990,9.5
170,2000,9.5
170,2010,9.5
170,2020,9.5
170,2030,9.5
170,2040,9.5
170,2050,9.5
170,2060,9.5
170,2100,9.5
174,1850,13.5
174,1920,13.5
174,1921,13.5
174,1950,13.5
174,1980,13.5
174,1990,13.5
174,2000,13.5
174,2010,13.5
174,2020,12.5
174,2030,12.5
174,2040,12.5
174,2050,12.5
174,2060,12.5
174,2100,12.5
188,1850,13.5
188,1920,13.5
188,1921,12
188,1950,12
188,1980,12
188,1990,9.5
188,2000,9.5
188,2010,9.5
188,2020,9.5
188,2030,9.5
188,2040,9.5
188,2050,9.5
188,2060,9.5
188,2100,9.5
384,1850,13.5
384,1920,13.5
384,1921,12
384,1950,12
384,1980,12
384,1990,12
384,2000,12
384,2010,12
384,2020,11.5
384,2030,11.5
384,2040,11.5
384,2050,11.5
384,2060,11.5
384,2100,11.5
191,1850,13.5
191,1920,13.5
191,1921,11
191,1950,11
191,1980,10
191,1990,9
191,2000,9
191,2010,9
191,2020,8.5
191,2030,8.5
191,2040,8.5
191,2050,8.5
191,2060,8.5
191,2100,8.5
192,1850,13.5
192,1920,13.5
192,1921,12
192,1950,12
192,1980,12
192,1990,9.5
192,2000,9.5
192,2010,9.5
192,2020,9.5
192,2030,9.5
192,2040,9.5
192,2050,9.5
192,2060,9.5
192,2100,9.5
531,1850,13.5
531,1920,13.5
531,1921,11
531,1950,11
531,1980,10
531,1990,9
531,2000,9
531,2010,9
531,2020,8.5
531,2030,8.5
531,2040,8.5
531,2050,8.5
531,2060,8.5
531,2100,8.5
196,1850,13.5
196,1920,13.5
196,1921,11
196,1950,11
196,1980,10
196,1990,9
196,2000,9
196,2010,9
196,2020,8.5
196,2030,8.5
196,2040,8.5
196,2050,8.5
196,2060,8.5
196,2100,8.5
203,1850,13.5
203,1920,13.5
203,1921,11
203,1950,11
203,1980,10
203,1990,9
203,2000,9
203,2010,9
203,2020,8.5
203,2030,8.5
203,2040,8.5
203,2050,8.5
203,2060,8.5
203,2100,8.5
408,1850,13.5
408,1920,13.5
408,1921,13.5
408,1950,13.5
408,1980,13.5
408,1990,13.5
408,2000,13.5
408,2010,13.5
408,2020,12.5
408,2030,12.5
408,2040,12.5
408,2050,12.5
408,2060,12.5
408,2100,12.5
180,1850,13.5
180,1920,13.5
180,1921,13.5
180,1950,13.5
180,1980,13.5
180,1990,13.5
180,2000,13.5
180,2010,13.5
180,2020,12.5
180,2030,12.5
180,2040,12.5
180,2050,12.5
180,2060,12.5
180,2100,12.5
208,1850,13.5
208,1920,13.5
208,1921,11
208,1950,11
208,1980,10
208,1990,9
208,2000,9
208,2010,9
208,2020,8.5
208,2030,8.5
208,2040,8.5
208,2050,8.5
208,2060,8.5
208,2100,8.5
262,1850,13.5
262,1920,13.5
262,1921,12
262,1950,12
262,1980,12
262,1990,12
262,2000,12
262,2010,12
262,2020,11.5
262,2030,11.5
262,2040,11.5
262,2050,11.5
262,2060,11.5
262,2100,11.5
214,1850,13.5
214,1920,13.5
214,1921,12
214,1950,12
214,1980,12
214,1990,9.5
214,2000,9.5
214,2010,9.5
214,2020,9.5
214,2030,9.5
