country,iso3c,year,dm_mortrate,avail_dialysis,avail_diabtest,avail_diabtest_ogtt,avail_diabtest_hba1c,avail_diabreg,univ_leg,national_ehr
Japan,JPN,2019,4.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Kazakhstan,KAZ,2019,10.8,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Kenya,KEN,2019,46.3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Kyrgyzstan,KGZ,2019,12.3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Cambodia,KHM,2019,48.3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Kiribati,KIR,2019,88.3,FALSE,TRUE,TRUE,NA,TRUE,FALSE,TRUE
Saint Kitts and Nevis,KNA,2019,28.9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
Republic of Korea,KOR,2019,30.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Kuwait,KWT,2019,44.1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA
Lao People's Democratic Republic,LAO,2019,22.6,NA,TRUE,TRUE,NA,TRUE,FALSE,FALSE
Lebanon,LBN,2019,15.6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Liberia,LBR,2019,58.7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
Libya,LBY,2019,15.4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
Saint Lucia,LCA,2019,88.4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA
Sri Lanka,LKA,2019,39,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA
Lesotho,LSO,2019,37.3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Lithuania,LTU,2019,5.8,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Luxembourg,LUX,2019,6.8,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Latvia,LVA,2019,6.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Morocco,MAR,2019,14.8,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Monaco,MCO,2019,6.7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA
Republic of Moldova,MDA,2019,8,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Madagascar,MDG,2019,50.2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Maldives,MDV,2019,66,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Mexico,MEX,2019,69.1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Marshall Islands,MHL,2019,61.9,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
North Macedonia,MKD,2019,26.4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
Mali,MLI,2019,60.1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Malta,MLT,2019,15.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Myanmar,MMR,2019,29.2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA
Montenegro,MNE,2019,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Mongolia,MNG,2019,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Mozambique,MOZ,2019,50.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA
Mauritania,MRT,2019,50.6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Mauritius,MUS,2019,48.7,TRUE,NA,TRUE,TRUE,TRUE,FALSE,NA
Malawi,MWI,2019,51.7,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Malaysia,MYS,2019,34,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Namibia,NAM,2019,32.2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA
Niger,NER,2019,61.3,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
Nigeria,NGA,2019,57.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA
Nicaragua,NIC,2019,69.1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA
Niue,NIU,2019,39.2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
Netherlands,NLD,2019,13.3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Norway,NOR,2019,6.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Nepal,NPL,2019,30.2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA
Nauru,NRU,2019,75.3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA
New Zealand,NZL,2019,13.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Oman,OMN,2019,58.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Pakistan,PAK,2019,22.3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Panama,PAN,2019,37.2,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Peru,PER,2019,22.3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Philippines,PHL,2019,29.4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Palau,PLW,2019,52.2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
Papua New Guinea,PNG,2019,29.6,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA
Poland,POL,2019,9.6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Democratic People's Republic of Korea,PRK,2019,29.3,FALSE,NA,NA,NA,TRUE,FALSE,FALSE
Portugal,PRT,2019,23,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Paraguay,PRY,2019,73.8,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Qatar,QAT,2019,78.6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Romania,ROU,2019,6.6,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Russian Federation,RUS,2019,5.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Rwanda,RWA,2019,57.1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NA
Saudi Arabia,SAU,2019,58.7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
Sudan,SDN,2019,39.4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA
Senegal,SEN,2019,52.1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Singapore,SGP,2019,10.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Solomon Islands,SLB,2019,45.4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA
