iso3c,loc_id,period1,period2,period3,world_bank_name
FRA,250,0.005456453081945916,5.934301683546432e-4,2.6196190949250156e-4,France
GUF,254,0,0,0,French Guiana
PYF,258,56.90513603786559,8.163902201800003,4.655847456719066,French Polynesia
GAB,266,97.81486634844896,92.54724855426797,79.00289188922517,Gabon
GMB,270,97.3688546942457,91.74739426302972,81.83403491662007,Gambia
GEO,268,0.005017271743630369,0.003622427596300561,3.346939884407419e-5,Georgia
DEU,276,0.010553017322806665,5.12258754244849e-4,3.834896458112259e-5,Germany
GHA,288,97.62808745662795,92.71827923471535,82.24309046574233,Ghana
GRC,300,0.0010261662594101782,1.2129521218408376e-4,5.872468776783697e-6,Greece
GRD,308,55.84055438019521,15.685257937464826,25.281641126812897,Grenada
GLP,312,0,0,0,Guadeloupe
GUM,316,12.835935433289244,0.8168906852988285,1.0592687016572913,Guam
GTM,320,76.06537245285327,21.808895135793595,60.61252223579305,Guatemala
GIN,324,97.76792700545725,94.88620431377086,91.48390466835401,Guinea
GNB,624,97.81283449657697,95.19067847208211,92.31455223090722,Guinea-Bissau
GUY,328,88.11171163498523,49.93034044295995,85.78794440206624,Guyana
HTI,332,94.08123713587445,72.2934166674977,96.2908352367026,Haiti
HND,340,78.13464535286097,36.55939770721183,77.16963885531784,Honduras
HUN,348,0.01600411045739772,0.0037357837836913136,7.100755419839715e-4,Hungary
ISL,352,0.006244040335884182,1.5916712911716581e-4,3.222738061861547e-5,Iceland
IND,356,93.34863084629495,93.34913799298336,75.18255104213098,India
IDN,360,94.91552777479797,63.752649094372714,56.70167967226638,Indonesia
IRQ,368,59.19952454608525,28.50518495826091,57.365099313776625,Iraq
IRL,372,0.15850537445938687,7.436761388213956e-4,1.4053976803154287e-4,Ireland
IRN,364,47.21187642460326,14.26452737621835,4.178229840245455,Islamic Republic of Iran
ISR,376,0.007536611757174448,0.0026831373708877566,0.0032153104886536274,Israel
ITA,380,7.088260788988153e-5,2.3580518257973685e-4,4.359156505819181e-5,Italy
JAM,388,12.960979011268794,2.014079999466474,11.450979806897864,Jamaica
JPN,392,0.012477780719478807,9.527311743742013e-5,1.9828364122830382e-5,Japan
JOR,400,2.681833362909011,0.12093044701744378,0.10560710120765376,Jordan
KAZ,398,0.03948158406486883,0.014607853090308718,0.0010549093236716127,Kazakhstan
KEN,404,97.46343995018563,91.5833971877119,82.96843464904,Kenya
KIR,296,94.55092927972282,62.93198036904503,62.72256939797543,Kiribati
KWT,414,2.2642291497040343,0.14960848538779226,0.03020947945151762,Kuwait
KGZ,417,0.13882645701823831,0.20746789215708256,0.11053799864979505,Kyrgyzstan
LAO,418,90.49279123303212,57.14198362751358,53.28007812147124,Lao People's Democratic Republic
LVA,428,0.008665773882231857,0.004295815387709347,0.0011265244012942956,Latvia
LBN,422,0.8276251557629573,0.03068181373284477,0.0810411236447295,Lebanon
LSO,426,97.51091349002303,94.87825556003138,92.43717498843127,Lesotho
LBR,430,97.59535087145606,93.55246222119845,87.55028156818946,Liberia
LBY,434,5.380374161569738,1.5705426837377683,0.4028651611782572,Libya
LTU,440,0.013539087986380786,0.003001084593577295,2.5670791660070723e-5,Lithuania
LUX,442,0.07671230671220972,0.0038422314440887534,4.690616109278991e-4,Luxembourg
MKD,807,0.6310174925425248,0.057904577352098974,0.0030885105250377464,Macedonia
MDG,450,97.736260945817,94.01113672492112,88.8431668934762,Madagascar
MWI,454,97.6298184210806,93.85216930984465,86.15032919674864,Malawi
MYS,458,83.3988516473937,6.8338343899561105,0.09091601039291876,Malaysia
MDV,462,89.51504015478689,0.5240182625307563,1.8704770436615844e-5,Maldives
MLI,466,97.6730405477051,93.5167016674013,87.03852590528395,Mali
MLT,470,0.025168431027186657,0.006321700962389017,0.017303983318065506,Malta
MTQ,474,0,0,0,Martinique
MRT,478,97.6294592911786,91.15897533935934,77.17392111945966,Mauritania
MUS,480,71.49276490625968,3.821369707164621,0.027189313125271914,Mauritius
MYT,175,0,0,0,Mayotte
MEX,484,7.5577069470873655,0.08049016176249293,0.0684486049349431,Mexico
MDA,498,0.036420707867066915,0.13401760984379782,0.006866458524380477,Moldova
MNG,496,3.7057477199200886,0.010672767306987315,5.471209992670068e-4,Mongolia
MNE,499,0.8805565303225878,0.1318410821271842,0.006584960040114907,Montenegro
MAR,504,61.24838798205429,29.64747909727968,54.928292567756955,Morocco
MOZ,508,97.62305752183738,94.25450543912156,89.46716984449253,Mozambique
MMR,104,93.28837929961831,55.747915645171744,41.72053376702056,Myanmar
NAM,516,97.77735992916955,92.79982720570902,71.94719097921174,Namibia
NPL,524,94.92971599651896,94.27325059347946,66.33660246936147,Nepal
NLD,528,0.021524668648289544,0.003090611408136165,1.1863957157420722e-4,Netherlands
NCL,540,41.12681728247462,3.8244828037795275,1.9548324621486506,New Caledonia
NZL,554,0.01101764141681188,2.269714833794954e-5,4.4701798769194613e-7,New Zealand
NIC,558,44.532060153393246,8.147725463106493,6.945793936306687,Nicaragua
NER,562,97.65670122731287,94.54010389716665,90.2029667099749,Niger
NGA,566,97.76114073502609,92.99082734219829,78.62242524998388,Nigeria
NOR,578,0.05052171226803249,0.00821772179485941,6.731761040324718e-4,Norway
OMN,512,4.8454075266624175,0.32494231115560085,0.19238644002609018,Oman
PAK,586,93.63985809840136,92.4108652134929,72.3418146826382,Pakistan
PAN,591,7.465352709421352,0.2921826495137643,0.4720143400647004,Panama
PNG,598,93.95243753744563,65.3367323527679,65.69465396817729,Papua New Guinea
PRY,600,26.968865365266126,2.196517630251856,7.437487471685704,Paraguay
PER,604,35.95346383084836,0.36889675679782064,0.472012341356284,Peru
PHL,608,92.77947539600905,11.691049886209596,14.35676892468763,Philippines
POL,616,0.43190842659711887,0.06383254422828769,0.009543000242809994,Poland
PRT,620,0.026754670560923805,7.191565937130861e-4,1.3769213621518822e-5,Portugal
PRI,630,0.03121757196764914,0.0017785772152268766,0.004941348728777018,Puerto Rico
QAT,634,0.9123916618748762,0.019646606293016688,0.025528892717148814,Qatar
COG,178,98.0291281533287,94.95579961510728,89.38570687092016,Republic of Congo
KOR,410,3.973403664747377,0.0014384435754371341,5.149020357594524e-5,Republic of Korea
REU,638,0,0,0,Réunion
ROU,642,3.793695917623198,0.1314557081865562,0.005714870677261227,Romania
RUS,643,0.23638083970816634,0.13362664751911554,1.728625447546597e-4,Russian Federation
RWA,646,97.67319720905374,94.01384359320102,84.01001644072554,Rwanda
WSM,882,92.03438202931534,37.85861331759946,26.83344062279671,Samoa
STP,678,97.95229773363278,92.83987088953339,82.32045606711266,Sao Tome and Principe
SAU,682,1.7832574552111198,0.7101857879796541,0.04140914568772927,Saudi Arabia
SEN,686,97.64432115355362,93.76702925816134,88.32425295423188,Senegal
SRB,688,0.5860853952792959,0.07560212209690645,0.003777265323963265,Serbia
SYC,690,66.58503945890926,3.3805984406372795,0.1000254510596362,Seychelles
SLE,694,97.66714157490087,94.7300118906986,90.64679357273072,Sierra Leone
SGP,702,0.5349871178777288,0.0026812826227690023,1.0347112203638791e-4,Singapore
SVK,703,0.013900000919242253,0.003140606895967804,5.555376531869233e-4,Slovakia
SVN,705,0.2403528052026462,0.019147892050813235,7.541820358481036e-4,Slovenia
SLB,90,94.28585970936776,63.06433025734491,62.652753686325326,Solomon Islands
