iso3c,loc_id,period1,period2,period3
KAZ,398,0.8969246894179356,0.5521499212985085,0.2632448586652209
KEN,404,57.78649302534558,43.69409062489692,37.35328541364362
KIR,296,66.06320972071445,65.93396504119502,70.60714671645655
KWT,414,12.177573153570258,2.1127828517774274,1.04321001111894
KGZ,417,1.5611626585260674,1.9501872992508016,2.392723862830081
LAO,418,67.29011379974033,67.33842016869934,65.64468616295336
LVA,428,0.6723998909701152,0.29812227177004774,0.3993728461328345
LBN,422,7.3429103459055884,0.7671885159242046,2.390713912273259
LSO,426,62.522990423905355,57.95451624468212,54.59221740976838
LBR,430,67.30549974809021,52.643696154305076,46.187672381204685
LBY,434,3.492651901536339,3.9263984532113008,1.1323351581341057
LTU,440,0.8190028028762888,0.26642175046248584,0.11937178540684194
LUX,442,2.517305452180764,0.6855214451399173,0.7199398090508484
MKD,807,2.0718238433277034,0.5960398851077421,0.5147902227485727
MDG,450,64.91429594394089,49.05933752353883,43.339183682149724
MWI,454,68.77413977749126,53.8948607214093,44.88660089768906
MYS,458,33.74697549861962,25.568492489815974,14.281330133287055
MDV,462,16.348265508261793,3.5329714508845242,0.05639273688777572
MLI,466,68.82318048374594,50.82878945563416,42.75598011043366
MLT,470,2.0652241585000803,0.4410298941841544,0.7614774349723927
MRT,478,62.187173621530725,43.6828877924755,34.516365103756286
MUS,480,15.164775476163367,6.066865581514771,0.8462968382224154
MEX,484,12.966235892742684,4.56018348263788,2.6966711608062166
MDA,498,0.6628246496647456,0.8225134035695176,0.27449623753513414
MNG,496,4.398249746996971,2.278527863120629,2.629114656612143
MNE,499,3.1201405515338414,0.9370147760094393,0.870168981012859
MAR,504,20.328867119084148,15.206022565897229,10.903014873905414
MOZ,508,69.71126537323816,55.22338134115766,47.80602053279444
MMR,104,68.28379914249034,61.45906524494155,56.49960045618799
NAM,516,55.85757114346007,39.51228540886411,26.400615293034633
NPL,524,32.198506887037155,22.826287348277425,13.01868420692973
NLD,528,1.9215953039348606,0.6525344334620663,0.46005776248128755
NCL,540,18.664647391513167,21.39512144791044,25.73979158062738
NZL,554,1.0202543966003732,0.5645325727445115,0.26211903736299647
